Country,Year,population,Country_ID,latitude,longitude,GDP,TotalGDP
Zambia,2020,19059395,ZM,-13.1339,27.84933,18138000000.0,417660000000.0
Zimbabwe,2020,15526888,ZW,-19.01544,29.15486,26878000000.0,478978000000.0
Albania,2021,2811666,AL,41.15333,20.16833,18086000000.0,330104000000.0
Algeria,2021,44761099,DZ,28.03389,1.65963,185850000000.0,3145938000000.0
Angola,2021,34532429,AO,-11.20269,17.87389,84375000000.0,1439229000000.0
Argentina,2021,45312281,AR,-38.4161,-63.61667,486040000000.0,8094978000000.0
Australia,2021,25685412,AU,-25.2744,133.77514,1655843000000.0,22874963000000.0
Austria,2021,8955797,AT,47.51623,14.55007,480786000000.0,6804768000000.0
Bangladesh,2021,167658854,BD,23.68499,90.35633,416265000000.0,6383522000000.0
Belgium,2021,11586195,BE,50.50389,4.46994,598892000000.0,8535322000000.0
Benin,2021,13413417,BJ,9.30769,2.31583,17699000000.0,284260000000.0
Bosnia and Herzegovina,2021,3244907,BA,43.91589,17.67908,23673000000.0,361674000000.0
Botswana,2021,2401441,BW,-22.32847,24.68487,18750000000.0,268304000000.0
Brazil,2021,209550294,BR,-14.235,-51.92528,1670650000000.0,27498145000000.0
Bulgaria,2021,6507301,BG,42.73388,25.48583,84477000000.0,1394653000000.0
Burkina Faso,2021,21995243,BF,12.23833,-1.56159,19747000000.0,331865000000.0
Burundi,2021,12965481,BI,-3.37306,29.91889,3356000000.0,80087000000.0
Cambodia,2021,16974305,KH,12.56568,104.99096,36797000000.0,630254000000.0
Cameroon,2021,26915758,CM,7.36972,12.35472,45036000000.0,716538000000.0
Canada,2021,38239864,CA,56.13037,-106.34677,2022382000000.0,28738085000000.0
Central African Republic,2021,5112100,CF,6.61111,20.93944,2585000000.0,39145000000.0
Chad,2021,17828273,TD,15.45417,18.73221,16881000000.0,245349000000.0
Chile,2021,19456334,CL,-35.67515,-71.54297,315411000000.0,4402607000000.0
Colombia,2021,51188173,CO,4.57087,-74.29733,318525000000.0,5249421000000.0
Costa Rica,2021,5059988,CR,9.74892,-83.75343,64954000000.0,1220181000000.0
Cyprus,2021,1317309,CY,35.12641,33.42986,30393000000.0,469995000000.0
Denmark,2021,5856733,DK,56.26392,9.50179,408378000000.0,5720441000000.0
Djibouti,2021,1121248,DJ,11.82514,42.59028,3393000000.0,57624000000.0
Dominican Republic,2021,11123476,DO,18.73569,-70.16265,95067000000.0,1615196000000.0
Ecuador,2021,17682454,EC,-1.83124,-78.18341,107179000000.0,1608553000000.0
El Salvador,2021,6255782,SV,13.79419,-88.89653,29043000000.0,456899000000.0
Finland,2021,5541017,FI,61.92411,25.74815,294419000000.0,3972166000000.0
France,2021,67842811,FR,46.22764,2.21375,2968405000000.0,41002981000000.0
Gabon,2021,2376722,GA,-0.80369,11.60944,19455000000.0,263455000000.0
